country,number,percent,lat,long
AE,17,0.4652435687,23.42,53.85
AL,1,0.02736726875,41.15,20.17
AQ,2,0.05473453749,-75.25,-0.071
AR,37,1.012588944,-38.42,-63.62
AT,4,0.109469075,47.52,14.55
AU,41,1.122058019,-25.27,133.78
BB,1,0.02736726875,13.19,-59.54
BD,9,0.2463054187,23.68,90.35
BE,4,0.109469075,50.5,4.47
BG,1,0.02736726875,42.73,25.49
BO,1,0.02736726875,-16.29,-63.59
BR,409,11.19321292,-14.24,-51.93
BY,2,0.05473453749,53.71,27.95
CA,78,2.134646962,56.13,-106.35
CH,4,0.109469075,46.82,8.23
CL,8,0.21893815,-35.68,-71.54
CN,3,0.08210180624,35.86,104.19
CO,41,1.122058019,4.57,-74.29
CZ,2,0.05473453749,49.82,15.47
DE,47,1.286261631,51.16,10.45
DK,3,0.08210180624,56.26,9.5
DO,4,0.109469075,18.73,-70.16
DZ,5,0.1368363437,28.03,1.66
EC,1,0.02736726875,-1.83,-78.18
EE,1,0.02736726875,58.59,25.01
EG,20,0.5473453749,26.82,30.8
ES,127,3.475643131,40.46,-3.75
FI,3,0.08210180624,61.92,25.75
FR,79,2.162014231,46.22,2.21
GB,184,5.035577449,55.37,-3.43
HK,1,0.02736726875,22.39,114.1
HU,1,0.02736726875,47.16,19.5
ID,51,1.395730706,-0.78,113.92
IE,5,0.1368363437,53.41,-8.24
IL,1,0.02736726875,31.05,34.85
IN,375,10.26272578,20.59,78.96
IQ,11,0.3010399562,33.22,43.68
IT,16,0.4378762999,41.87,12.56
JM,2,0.05473453749,18.11,-77.3
JO,3,0.08210180624,30.59,36.24
JP,37,1.012588944,36.2,138.25
KH,1,0.02736726875,12.56,104.99
KR,52,1.423097975,35.91,127.77
KW,3,0.08210180624,29.31,47.48
LB,1,0.02736726875,33.85,35.86
MA,11,0.3010399562,31.79,-7.09
MK,2,0.05473453749,41.61,21.74
MT,1,0.02736726875,35.93,14.37
MX,133,3.639846743,23.63,-102.55
MY,5,0.1368363437,4.21,101.97
NG,1,0.02736726875,9.08,8.67
NL,11,0.3010399562,52.13,5.29
NO,8,0.21893815,60.47,8.46
NP,1,0.02736726875,28.39,84.12
NZ,7,0.1915708812,-40.9,174.89
PA,3,0.08210180624,8.53,-80.78
PE,7,0.1915708812,-9.18,-75.02
PH,17,0.4652435687,12.88,121.77
PK,12,0.328407225,30.37,69.35
PL,13,0.3557744937,51.92,19.15
PR,9,0.2463054187,18.22,-66.59
PT,3,0.08210180624,39.39,-8.22
QA,1,0.02736726875,25.35,51.18
RO,9,0.2463054187,45.94,24.966
RS,2,0.05473453749,44.01,21.01
RU,103,2.818828681,61.52,105.31
SA,54,1.477832512,23.88,45.07
SE,13,0.3557744937,60.13,18.64
SG,3,0.08210180624,1.35,103.81
SI,3,0.08210180624,46.15,14.99
SV,3,0.08210180624,13.79,-88.89
SY,1,0.02736726875,34.8,38.99
TH,72,1.97044335,15.87,100.99
TN,2,0.05473453749,33.88,9.54
TR,39,1.067323481,38.96,35.24
TW,3,0.08210180624,23.69,120.96
UA,21,0.5747126437,48.37,31.17
US,1323,36.20689655,37.09,-95.71
UY,1,0.02736726875,-55.76,-55.76
VE,5,0.1368363437,6.42,-66.59
VN,52,1.423097975,14.05,108.28
ZA,1,0.02736726875,-30.56,22.93
