userID,name,uploads,subscribers,videoviews,country,MonthlyEarnings,YearlyEarnings
PewDiePie,PewDiePie,3779,90210848,20772365682,US,66900 - 1100000,802300 - 12800000
T-Series,T-Series,13218,90194329,65092058996,IN,635600 - 10200000,7600000 - 12200000
Gaming,Gaming,0,81888222,0,,124500 - 200000,1500000 - 23900000
YouTube Movies,YouTube Movies,0,77413743,0,,120400 - 1900000,1400000 - 23100000
Sports,Sports,0,75622870,0,,318300 - 5100000,3800000 - 61100000
5-Minute Crafts,5-Minute Crafts,2850,52039165,12853732711,US,319 - 5100,3800 - 61300
Canal KondZilla,Canal KondZilla,995,47785398,23658901687,BR,567600 - 9100000,6800000 - 10900000
SET India,SET India,29688,43974122,30601562478,IN,46500 - 743300,557500 - 8900000
Justin Bieber,Justin Bieber,132,43878072,603895308,CA,7200 - 114600,85900 - 1400000
Cocomelon - Nursery Rhymes,Cocomelon - Nursery Rhymes,408,40551419,22962398422,US,50400 - 807200,605400 - 9700000
Dude Perfect,Dude Perfect,201,40202277,7453264532,US,164900 - 2600000,200000 - 31700000
HolaSoyGerman.,HolaSoyGerman.,137,38503519,3842065134,CL,9500 - 152400,114300 - 1800000
Ed Sheeran,Ed Sheeran,123,37683352,16255758481,GB,6400 - 102600,76900 - 1200000
Badabun,Badabun,3866,37292948,10836102246,MX,21400 - 342700,25700 - 4100000
whinderssonnunes,whinderssonnunes,362,35123697,2858803818,BR,142500 - 2300000,1700000 - 27400000
Ariana Grande`,Ariana Grande`,127,34044586,763302033,US,114 - 1800,1400 - 21800
News,News,0,33992470,0,,17400 - 278700,20900 - 3300000
JustinBieberVEVO,JustinBieberVEVO,122,33770169,18512334420,US,84 - 1300,100 - 1600
Zee Music Company,Zee Music Company,3998,33090848,15546938399,IN,86100 - 1400000,100000 - 16500000
Katy Perry,Katy Perry,95,32641073,358024945,US,61100 - 977400,733100 - 11700000
Fernanfloo,Fernanfloo,534,32393658,6867760534,SV,56500 - 904700,678500 - 10900000
Rihanna,Rihanna,76,31492974,60476288,BB,1200 - 18600,13900 - 222800
Marshmello,Marshmello,270,31451636,5276196776,US,2600 - 41600,31200 - 500000
Felipe Neto,Felipe Neto,1646,31355944,6316964355,BR,39700 - 634900,476200 - 7600000
TheEllenShow,TheEllenShow,10029,31338665,15227530790,US,35800 - 572800,429600 - 6900000
Popular on YouTube,Popular on YouTube,0,29803590,0,,23900 - 381700,286300 - 4600000
YouTube,YouTube,288,28009035,1845149750,US,26300 - 421300,31600 - 5100000
TaylorSwiftVEVO,TaylorSwiftVEVO,82,27679085,16330049371,US,39300 - 628600,471500 - 7500000
EminemVEVO,EminemVEVO,84,26338163,12803106901,US,245200 - 3900000,2900000 - 47100000
